timestamp,symbol,direction,entry,sl,tp1,tp2,tp3,score,grade,rr,adx,rsi,rel_volume,spike_tier,mtf_status,btc_regime,rs_label,funding_pct,oi_signal,beta_label,status
2026-06-26T01:31:57.265293+00:00,ACX/USDT:USDT,SHORT,0.03872,0.03917654,0.03769279,0.03735038,0.03689384,89.79,A,2.25,28.64,44.21,1.71,ELEVATED,ALLOWED,BEAR,STRONG,0.005,NEUTRAL,LOW,SL_HIT
2026-06-27T14:04:22.527753+00:00,BEAT/USDT:USDT,LONG,2.5836,2.42214971,2.98722572,3.22940114,3.55230172,100.0,S,2.5,21.2,59.44,1.31,NORMAL,ALLOWED,RANGE,STRONG,0.005,NEUTRAL,N/A,SL_HIT
2026-06-27T17:45:06.757201+00:00,GRASS/USDT:USDT,LONG,0.51983,0.50449767,0.55816082,0.58115931,0.61182396,90.88,A,2.5,34.71,60.16,1.02,NORMAL,ALLOWED,RANGE,STRONG,0.005,NEUTRAL,N/A,SL_HIT
2026-06-27T18:56:04.437781+00:00,PENGU/USDT:USDT,LONG,0.006329,0.00622903,0.00657893,0.00672889,0.00692884,89.15,A,2.5,27.19,61.18,1.0,NORMAL,ALLOWED,RANGE,STRONG,0.005,NEUTRAL,N/A,SL_HIT
2026-06-29T01:54:06.378022+00:00,BGB/USDT:USDT,SHORT,1.6318,1.65482201,1.58000049,1.56273398,1.53971198,88.42,A,2.25,39.45,48.98,1.03,NORMAL,ALLOWED,BEAR,STRONG,0.01,NEUTRAL,LOW,EXPIRED
2026-06-29T01:54:06.885786+00:00,BNB/USDT:USDT,SHORT,552.11,559.94320949,534.48527864,528.61037152,520.77716203,81.41,B,2.25,30.23,46.09,1.14,NORMAL,ALLOWED,BEAR,STRONG,0.0085,NEUTRAL,LOW,SL_HIT
2026-06-29T15:04:08.420773+00:00,BGB/USDT:USDT,SHORT,1.6245,1.64488084,1.5786431,1.56335747,1.54297663,91.39,A,2.25,41.54,42.65,1.99,ELEVATED,ALLOWED,BEAR_CAUTION,STRONG,0.01,NEUTRAL,LOW,SL_HIT
2026-06-29T17:47:21.930344+00:00,TIA/USDT:USDT,LONG,0.4004,0.39224372,0.42079069,0.43302511,0.44933766,84.93,A,2.5,27.16,64.08,1.44,NORMAL,ALLOWED,RANGE,STRONG,-0.001,NEUTRAL,N/A,SL_HIT
2026-06-29T17:47:22.418153+00:00,CGNX/USDT:USDT,LONG,68.24,67.45801178,70.19497054,71.36795286,72.93192929,82.14,A,2.5,41.75,65.65,1.22,NORMAL,ALLOWED,RANGE,NEUTRAL,0.0,NEUTRAL,N/A,TP2_HIT
2026-06-29T21:11:34.840359+00:00,PUMP/USDT:USDT,LONG,0.001465,0.00142426,0.00156685,0.00162796,0.00170944,98.4,S,2.5,24.04,54.07,1.25,NORMAL,CONFIRMED,BULL,STRONG,0.005,NEUTRAL,N/A,SL_HIT
